Run 1,, ,run 2,,,run 3 ,,changed detectors,run 1 - H2 D2,,,run 2,,,run 3 ,,,run 1 - h2,,,run 2,,,run 3,,,run 1 with filter,dummy data,,run 2 with nd 1 absorptive filter,broad band anti reflective coating 350 - 700 nm,,run 3 with filter,,,run 4,
wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts)
356.23,10.5,,356.23,10.89,,356.23,15.28,,630.58,8.62,,630.58,13.77,,630.58,-16.77,,630.58,10.85,,630.58,-13.77,,630.58,10.38,,630.58,7.23,,630.58,11.08,,630.58,11.38,,630.58,-2.38
356.46,12.5,,356.46,13.89,,356.46,10.28,,630.6,-1.38,,630.6,16.77,,630.6,-9.77,,630.6,5.85,,630.6,-10.77,,630.6,-0.62,,630.6,-4.77,,630.6,0.08,,630.6,13.38,,630.6,12.62
356.69,10.5,,356.69,12.89,,356.69,9.28,,630.62,16.62,,630.62,13.77,,630.62,8.23,,630.62,9.85,,630.62,5.23,,630.62,-1.62,,630.62,0.23,,630.62,2.08,,630.62,15.38,,630.62,-3.38
356.92,13.5,,356.92,8.89,,356.92,11.28,,630.63,15.62,,630.63,22.77,,630.63,30.23,,630.63,5.85,,630.63,9.23,,630.63,1.38,,630.63,13.23,,630.63,4.08,,630.63,21.38,,630.63,11.62
357.14,15.5,,357.14,14.89,,357.14,13.28,,630.65,-10.38,,630.65,19.77,,630.65,20.23,,630.65,13.85,,630.65,-10.77,,630.65,10.38,,630.65,13.23,,630.65,6.08,,630.65,14.38,,630.65,16.62
357.37,12.5,,357.37,13.89,,357.37,12.28,,630.67,-8.38,,630.67,9.77,,630.67,13.23,,630.67,4.85,,630.67,4.23,,630.67,4.38,,630.67,9.23,,630.67,13.08,,630.67,14.38,,630.67,16.62
357.6,12.5,,357.6,8.89,,357.6,10.28,,630.69,-1.38,,630.69,-2.23,,630.69,-6.77,,630.69,-6.15,,630.69,4.23,,630.69,-2.62,,630.69,-10.77,,630.69,6.08,,630.69,-4.62,,630.69,1.62
357.83,9.5,,357.83,10.89,,357.83,11.28,,630.71,5.62,,630.71,-4.23,,630.71,5.23,,630.71,-6.15,,630.71,11.23,,630.71,4.38,,630.71,10.23,,630.71,10.08,,630.71,12.38,,630.71,14.62
358.06,10.5,,358.06,10.89,,358.06,9.28,,630.73,6.62,,630.73,-2.23,,630.73,5.23,,630.73,2.85,,630.73,10.23,,630.73,-1.62,,630.73,14.23,,630.73,5.08,,630.73,27.38,,630.73,13.62
358.28,11.5,,358.28,16.89,,358.28,16.28,,630.74,0.62,,630.74,7.77,,630.74,11.23,,630.74,-0.15,,630.74,-1.77,,630.74,-9.62,,630.74,3.23,,630.74,-6.92,,630.74,21.38,,630.74,2.62
358.51,12.5,,358.51,8.89,,358.51,15.28,,630.76,-11.38,,630.76,6.77,,630.76,-5.77,,630.76,-21.15,,630.76,-10.77,,630.76,-11.62,,630.76,0.23,,630.76,-17.92,,630.76,-0.62,,630.76,-10.38
358.74,9.5,,358.74,8.89,,358.74,12.28,,630.78,6.62,,630.78,4.77,,630.78,-4.77,,630.78,-16.15,,630.78,-3.77,,630.78,-1.62,,630.78,-9.77,,630.78,-1.92,,630.78,-2.62,,630.78,-5.38
358.97,12.5,,358.97,7.89,,358.97,16.28,,630.8,-1.38,,630.8,2.77,,630.8,8.23,,630.8,-11.15,,630.8,-2.77,,630.8,-3.62,,630.8,0.23,,630.8,-5.92,,630.8,4.38,,630.8,3.62
359.19,10.5,,359.19,5.89,,359.19,13.28,,630.82,4.62,,630.82,11.77,,630.82,24.23,,630.82,2.85,,630.82,7.23,,630.82,11.38,,630.82,7.23,,630.82,9.08,,630.82,18.38,,630.82,18.62
